,u_in,u_out,vy_in,r_in,xg_in,yg_in,theta_in,t,vy_out,r_out,xg_out,yg_out,theta_out
5754,-0.09446957409619777,-0.09430759730492468,1.6268935535075895,-0.0702913430315241,-32.30335271921325,1288.2684419668014,1.180592029152698,57.54,1.6255396941078746,-0.07019139946276784,-32.20417965925971,1288.5520423204432,1.1798896152666518
5755,-0.09430759730492468,-0.0941446915178499,1.6255396941078746,-0.07019139946276784,-32.20417965925971,1288.5520423204432,1.1798896152666518,57.550000000000004,1.6241749654456727,-0.07009075981402627,-32.104794995305966,1288.8355678097112,1.1791882042932087
5756,-0.0941446915178499,-0.09398085577616633,1.6241749654456727,-0.07009075981402627,-32.104794995305966,1288.8355678097112,1.1791882042932087,57.56,1.622799312022401,-0.06998941958812013,-32.00519896806164,1289.1190183358121,1.178487803211659
5757,-0.09398085577616633,-0.09381608912106693,1.622799312022401,-0.06998941958812013,-32.00519896806164,1289.1190183358121,1.178487803211659,57.57,1.621412677897277,-0.06988737425305762,-31.9053918196664,1289.4023938008932,1.177788419045704
5758,-0.09381608912106693,-0.09365039059374453,1.621412677897277,-0.06988737425305762,-31.9053918196664,1289.4023938008932,1.177788419045704,57.58,1.6200150066849963,-0.06978461924182855,-31.805373793694798,1289.685694108048,1.1770900588637414
5759,-0.09365039059374453,-0.09348375923539236,1.6200150066849963,-0.06978461924182855,-31.805373793694798,1289.685694108048,1.1770900588637414,57.59,1.6186062415534106,-0.06968114995219933,-31.705145135161615,1289.968919161321,1.1763927297791565
5760,-0.09348375923539236,-0.09331619408720325,1.6186062415534106,-0.06968114995219933,-31.705145135161615,1289.968919161321,1.1763927297791565,57.6,1.6171863252211993,-0.06957696174650686,-31.604706090526417,1290.2520688657153,1.1756964389506064
5761,-0.09331619408720325,-0.09314769419037008,1.6171863252211993,-0.06957696174650686,-31.604706090526417,1290.2520688657153,1.1756964389506064,57.61,1.6157551999555486,-0.06947204995145331,-31.504056907698818,1290.5351431271968,1.175001193582309
5762,-0.09314769419037008,-0.09297825858608605,1.6157551999555486,-0.06947204995145331,-31.504056907698818,1290.5351431271968,1.175001193582309,57.620000000000005,1.6143128075698314,-0.06936640985790084,-31.403197836043695,1290.8181418526995,1.174307000924334
5763,-0.09297825858608605,-0.09280788631554401,1.6143128075698314,-0.06936640985790084,-31.403197836043695,1290.8181418526995,1.174307000924334,57.63,1.6128590894212775,-0.0692600367206656,-31.30212912638579,1291.1010649501331,1.1736138682728854
5764,-0.09280788631554401,-0.0926365764199369,1.6128590894212775,-0.0692600367206656,-31.30212912638579,1291.1010649501331,1.1736138682728854,57.64,1.6113939864086546,-0.06915292575831251,-31.200851031015006,1291.383912328387,1.1729218029705935
